LastName,MiddleName,FirstName,Gender,BirthDate,PhoneNumber,Street,City,State,Country,Zipcode
Handan,,Gu,Female,1995/2/1 0:00,8571112222,,,,,
Hao,,Zuo,Male,1995/8/10 0:00,8572221111,,,,,
Eric,,Wu,Male,1980/4/2 0:00,8579120345,,,,,
Jucy,,Sun,Female,1993/5/8 0:00,8573419873,,,,,
ViVi,,Zhang,Female,2000/12/2 0:00,8575491234,,,,,
Bob,,Wang,Male,1994/3/2 11:00,8572101234,,,,,
Tom,,Chen,Male,1993/9/2 15:00,8573415820,,,,,
Addison,,Zhu,Male,1997/9/2 15:00,8573104981,,,,,
Dana,,Zhou,Female,1998/9/2 15:00,8572109572,,,,,
Luara,,Fan,Female,1998/9/2 15:00,8572301111,,,,,
