LastName,MiddleName,FirstName,Gender,BirthDate,ApartmentID,PhoneNumber,Street,City,Country,Zipcode,RegistTime
Brown,Brown,Bob,M,1/12/91 0:00,1,8572101234,park st.,boston,U.S,2215,2012/2/18 0:00
Pante,Pante,Chris,M,8/12/70 0:00,2,8672134563,peterborouth st.,boston,U.S,2115,1/21/15 0:00
White,White,Shella,F,1/11/77 0:00,3,3106142255,commonwealth Ave.,boston,U.S,2215,2003/12/12 0:00
Frank,Frank,mike,M,12/1/90 0:00,4,3109112313,hundtington Ave.,boston,U.S,2123,2007/12/17 0:00
kent,kent,nike,M,8/12/92 0:00,5,3107031231,tenment St.,boston,U.S,2134,2008/9/17 0:00
kena,,nika,F,8/13/92 0:00,6,3104950149,,,,,2009/6/17 0:00
kenb,,nikb,F,8/14/92 0:00,7,3102869067,,,,,2010/4/17 0:00
kenc,,nikc,M,8/15/92 0:00,8,3100787985,,,,,2011/1/17 0:00
kend,,nikd,M,8/16/92 0:00,9,3098706903,,,,,11/29/17 0:00
kene,,nikf,M,8/17/92 0:00,10,3096625821,,,,,12/27/17 0:00
